topic,proportion,timeStep
Topic-5,26,01/28/17:18:30:01
Topic-6,6,01/28/17:18:30:01
Topic-7,20,01/28/17:18:30:01
Topic-8,94,01/28/17:18:30:01
Topic-9,1,01/28/17:18:30:01
Topic-0,204,01/28/17:19:00:01
Topic-1,131,01/28/17:19:00:01
Topic-2,16,01/28/17:19:00:01
Topic-3,66,01/28/17:19:00:01
Topic-4,158,01/28/17:19:00:01
Topic-5,31,01/28/17:19:00:01
Topic-6,16,01/28/17:19:00:01
Topic-7,13,01/28/17:19:00:01
Topic-8,78,01/28/17:19:00:01
Topic-9,3,01/28/17:19:00:01
Topic-0,234,01/28/17:19:30:01
Topic-1,132,01/28/17:19:30:01
Topic-2,30,01/28/17:19:30:01
Topic-3,31,01/28/17:19:30:01
Topic-4,207,01/28/17:19:30:01
Topic-5,35,01/28/17:19:30:01
Topic-6,12,01/28/17:19:30:01
Topic-7,9,01/28/17:19:30:01
Topic-8,119,01/28/17:19:30:01
Topic-9,3,01/28/17:19:30:01
Topic-0,224,01/28/17:20:00:01
Topic-1,128,01/28/17:20:00:01
Topic-2,27,01/28/17:20:00:01
Topic-3,45,01/28/17:20:00:01
Topic-4,155,01/28/17:20:00:01
Topic-5,42,01/28/17:20:00:01
Topic-6,15,01/28/17:20:00:01
Topic-7,20,01/28/17:20:00:01
Topic-8,96,01/28/17:20:00:01
Topic-9,4,01/28/17:20:00:01
Topic-0,206,01/28/17:20:30:01
Topic-1,172,01/28/17:20:30:01
Topic-2,24,01/28/17:20:30:01
Topic-3,39,01/28/17:20:30:01
Topic-4,175,01/28/17:20:30:01
Topic-5,47,01/28/17:20:30:01
Topic-6,20,01/28/17:20:30:01
Topic-7,23,01/28/17:20:30:01
Topic-8,96,01/28/17:20:30:01
Topic-9,7,01/28/17:20:30:01
Topic-0,234,01/28/17:21:00:01
Topic-1,194,01/28/17:21:00:01
Topic-2,16,01/28/17:21:00:01
Topic-3,31,01/28/17:21:00:01
Topic-4,133,01/28/17:21:00:01
Topic-5,36,01/28/17:21:00:01
Topic-6,13,01/28/17:21:00:01
Topic-7,21,01/28/17:21:00:01
Topic-8,66,01/28/17:21:00:01
Topic-9,1,01/28/17:21:00:01
Topic-0,231,01/28/17:21:30:01
Topic-1,151,01/28/17:21:30:01
Topic-2,10,01/28/17:21:30:01
Topic-3,47,01/28/17:21:30:01
Topic-4,126,01/28/17:21:30:01
Topic-5,22,01/28/17:21:30:01
Topic-6,12,01/28/17:21:30:01
Topic-7,20,01/28/17:21:30:01
Topic-8,56,01/28/17:21:30:01
Topic-9,2,01/28/17:21:30:01
Topic-0,203,01/28/17:22:00:01
Topic-1,167,01/28/17:22:00:01
Topic-2,8,01/28/17:22:00:01
Topic-3,57,01/28/17:22:00:01
Topic-4,133,01/28/17:22:00:01
Topic-5,17,01/28/17:22:00:01
Topic-6,19,01/28/17:22:00:01
Topic-7,18,01/28/17:22:00:01
Topic-8,44,01/28/17:22:00:01
Topic-9,2,01/28/17:22:00:01
Topic-0,203,01/28/17:22:30:01
Topic-1,158,01/28/17:22:30:01
Topic-2,21,01/28/17:22:30:01
Topic-3,35,01/28/17:22:30:01
Topic-4,111,01/28/17:22:30:01
Topic-5,9,01/28/17:22:30:01
Topic-6,16,01/28/17:22:30:01
Topic-7,24,01/28/17:22:30:01
Topic-8,50,01/28/17:22:30:01
Topic-9,3,01/28/17:22:30:01
Topic-0,192,01/28/17:23:00:01
Topic-1,167,01/28/17:23:00:01
Topic-2,21,01/28/17:23:00:01
Topic-3,9,01/28/17:23:00:01
Topic-4,108,01/28/17:23:00:01
Topic-5,21,01/28/17:23:00:01
Topic-6,31,01/28/17:23:00:01
Topic-7,38,01/28/17:23:00:01
Topic-8,54,01/28/17:23:00:01
Topic-9,1,01/28/17:23:00:01
Topic-0,166,01/28/17:23:30:01
Topic-1,156,01/28/17:23:30:01
Topic-2,29,01/28/17:23:30:01
Topic-3,32,01/28/17:23:30:01
Topic-4,126,01/28/17:23:30:01
Topic-5,14,01/28/17:23:30:01
Topic-6,15,01/28/17:23:30:01
Topic-7,18,01/28/17:23:30:01
Topic-8,53,01/28/17:23:30:01
Topic-9,4,01/28/17:23:30:01
Topic-0,166,01/29/17:00:00:01
Topic-1,152,01/29/17:00:00:01
Topic-2,66,01/29/17:00:00:01
Topic-3,18,01/29/17:00:00:01
Topic-4,98,01/29/17:00:00:01
Topic-5,30,01/29/17:00:00:01
Topic-6,10,01/29/17:00:00:01
Topic-7,19,01/29/17:00:00:01
Topic-8,20,01/29/17:00:00:01
Topic-9,4,01/29/17:00:00:01
Topic-0,139,01/29/17:00:30:01
Topic-1,133,01/29/17:00:30:01
Topic-2,260,01/29/17:00:30:01
Topic-3,15,01/29/17:00:30:01
Topic-4,111,01/29/17:00:30:01
Topic-5,22,01/29/17:00:30:01
Topic-6,11,01/29/17:00:30:01
Topic-7,39,01/29/17:00:30:01
Topic-8,37,01/29/17:00:30:01
Topic-9,1,01/29/17:00:30:01
Topic-0,159,01/29/17:01:00:01
Topic-1,146,01/29/17:01:00:01
Topic-2,202,01/29/17:01:00:01
Topic-3,27,01/29/17:01:00:01
Topic-4,77,01/29/17:01:00:01
Topic-5,14,01/29/17:01:00:01
Topic-6,8,01/29/17:01:00:01
Topic-7,67,01/29/17:01:00:01
Topic-8,17,01/29/17:01:00:01
Topic-9,1,01/29/17:01:00:01
Topic-0,149,01/29/17:01:30:01
Topic-1,105,01/29/17:01:30:01
Topic-2,122,01/29/17:01:30:01
Topic-3,17,01/29/17:01:30:01
Topic-4,82,01/29/17:01:30:01
Topic-5,27,01/29/17:01:30:01
Topic-6,17,01/29/17:01:30:01
Topic-7,60,01/29/17:01:30:01
Topic-8,30,01/29/17:01:30:01
Topic-9,1,01/29/17:01:30:01
Topic-0,130,01/29/17:02:00:01
Topic-1,77,01/29/17:02:00:01
Topic-2,69,01/29/17:02:00:01
Topic-3,18,01/29/17:02:00:01
Topic-4,81,01/29/17:02:00:01
Topic-5,20,01/29/17:02:00:01
Topic-6,4,01/29/17:02:00:01
Topic-7,47,01/29/17:02:00:01
Topic-8,30,01/29/17:02:00:01
Topic-9,2,01/29/17:02:00:01
Topic-0,132,01/29/17:02:30:01
Topic-1,104,01/29/17:02:30:01
Topic-2,69,01/29/17:02:30:01
Topic-3,21,01/29/17:02:30:01
Topic-4,88,01/29/17:02:30:01
Topic-5,14,01/29/17:02:30:01
Topic-6,4,01/29/17:02:30:01
Topic-7,36,01/29/17:02:30:01
Topic-8,25,01/29/17:02:30:01
Topic-9,2,01/29/17:02:30:01
Topic-0,105,01/29/17:03:00:01
Topic-1,102,01/29/17:03:00:01
Topic-2,58,01/29/17:03:00:01
Topic-3,16,01/29/17:03:00:01
Topic-4,47,01/29/17:03:00:01
Topic-5,9,01/29/17:03:00:01
Topic-6,7,01/29/17:03:00:01
Topic-7,42,01/29/17:03:00:01
Topic-8,50,01/29/17:03:00:01
Topic-9,5,01/29/17:03:00:01
Topic-0,91,01/29/17:03:30:01
Topic-1,82,01/29/17:03:30:01
Topic-2,48,01/29/17:03:30:01
Topic-3,15,01/29/17:03:30:01
Topic-4,51,01/29/17:03:30:01
Topic-5,6,01/29/17:03:30:01
Topic-6,4,01/29/17:03:30:01
Topic-7,31,01/29/17:03:30:01
Topic-8,27,01/29/17:03:30:01
Topic-9,1,01/29/17:03:30:01
Topic-0,96,01/29/17:04:00:01
Topic-1,62,01/29/17:04:00:01
Topic-2,41,01/29/17:04:00:01
Topic-3,15,01/29/17:04:00:01
Topic-4,74,01/29/17:04:00:01
Topic-5,6,01/29/17:04:00:01
Topic-6,6,01/29/17:04:00:01
Topic-7,37,01/29/17:04:00:01
Topic-8,22,01/29/17:04:00:01
Topic-9,3,01/29/17:04:00:01
Topic-0,111,01/29/17:04:30:01
Topic-1,59,01/29/17:04:30:01
Topic-2,54,01/29/17:04:30:01
Topic-3,23,01/29/17:04:30:01
Topic-4,53,01/29/17:04:30:01
Topic-5,3,01/29/17:04:30:01
Topic-6,2,01/29/17:04:30:01
Topic-7,21,01/29/17:04:30:01
Topic-8,31,01/29/17:04:30:01
Topic-9,0,01/29/17:04:30:01
Topic-0,108,01/29/17:05:00:01
Topic-1,47,01/29/17:05:00:01
Topic-2,32,01/29/17:05:00:01
Topic-3,11,01/29/17:05:00:01
Topic-4,43,01/29/17:05:00:01
Topic-5,9,01/29/17:05:00:01
Topic-6,12,01/29/17:05:00:01
Topic-7,34,01/29/17:05:00:01
Topic-8,18,01/29/17:05:00:01
Topic-9,2,01/29/17:05:00:01
Topic-0,74,01/29/17:05:30:01
Topic-1,55,01/29/17:05:30:01
Topic-2,44,01/29/17:05:30:01
Topic-3,12,01/29/17:05:30:01
Topic-4,37,01/29/17:05:30:01
Topic-5,5,01/29/17:05:30:01
Topic-6,9,01/29/17:05:30:01
Topic-7,14,01/29/17:05:30:01
Topic-8,26,01/29/17:05:30:01
Topic-9,0,01/29/17:05:30:01
Topic-0,71,01/29/17:06:00:01
Topic-1,66,01/29/17:06:00:01
Topic-2,20,01/29/17:06:00:01
Topic-3,8,01/29/17:06:00:01
Topic-4,41,01/29/17:06:00:01
Topic-5,8,01/29/17:06:00:01
Topic-6,6,01/29/17:06:00:01
Topic-7,12,01/29/17:06:00:01
Topic-8,20,01/29/17:06:00:01
Topic-9,2,01/29/17:06:00:01
Topic-0,81,01/29/17:06:30:01
Topic-1,34,01/29/17:06:30:01
Topic-2,15,01/29/17:06:30:01
Topic-3,13,01/29/17:06:30:01
Topic-4,25,01/29/17:06:30:01
Topic-5,7,01/29/17:06:30:01
Topic-6,10,01/29/17:06:30:01
Topic-7,30,01/29/17:06:30:01
Topic-8,19,01/29/17:06:30:01
Topic-9,0,01/29/17:06:30:01
Topic-0,72,01/29/17:07:00:01
Topic-1,36,01/29/17:07:00:01
Topic-2,25,01/29/17:07:00:01
Topic-3,22,01/29/17:07:00:01
Topic-4,45,01/29/17:07:00:01
Topic-5,8,01/29/17:07:00:01
Topic-6,7,01/29/17:07:00:01
Topic-7,20,01/29/17:07:00:01
Topic-8,29,01/29/17:07:00:01
Topic-9,0,01/29/17:07:00:01
Topic-0,75,01/29/17:07:30:01
Topic-1,50,01/29/17:07:30:01
Topic-2,16,01/29/17:07:30:01
Topic-3,16,01/29/17:07:30:01
Topic-4,50,01/29/17:07:30:01
Topic-5,9,01/29/17:07:30:01
Topic-6,6,01/29/17:07:30:01
Topic-7,42,01/29/17:07:30:01
Topic-8,30,01/29/17:07:30:01
Topic-9,0,01/29/17:07:30:01
Topic-0,83,01/29/17:08:00:01
Topic-1,45,01/29/17:08:00:01
Topic-2,15,01/29/17:08:00:01
Topic-3,11,01/29/17:08:00:01
Topic-4,55,01/29/17:08:00:01
Topic-5,5,01/29/17:08:00:01
Topic-6,6,01/29/17:08:00:01
Topic-7,8,01/29/17:08:00:01
Topic-8,23,01/29/17:08:00:01
Topic-9,1,01/29/17:08:00:01
Topic-0,76,01/29/17:08:30:01
Topic-1,38,01/29/17:08:30:01
Topic-2,24,01/29/17:08:30:01
Topic-3,9,01/29/17:08:30:01
Topic-4,39,01/29/17:08:30:01
Topic-5,11,01/29/17:08:30:01
Topic-6,24,01/29/17:08:30:01
Topic-7,15,01/29/17:08:30:01
Topic-8,16,01/29/17:08:30:01
Topic-9,3,01/29/17:08:30:01
Topic-0,65,01/29/17:09:00:01
Topic-1,47,01/29/17:09:00:01
Topic-2,18,01/29/17:09:00:01
Topic-3,12,01/29/17:09:00:01
Topic-4,52,01/29/17:09:00:01
Topic-5,11,01/29/17:09:00:01
Topic-6,34,01/29/17:09:00:01
Topic-7,25,01/29/17:09:00:01
Topic-8,28,01/29/17:09:00:01
Topic-9,0,01/29/17:09:00:01
Topic-0,84,01/29/17:09:30:01
Topic-1,44,01/29/17:09:30:01
Topic-2,26,01/29/17:09:30:01
Topic-3,6,01/29/17:09:30:01
Topic-4,35,01/29/17:09:30:01
Topic-5,5,01/29/17:09:30:01
Topic-6,56,01/29/17:09:30:01
